z_um,dy_px,dx_px
-110.0,-0.0056422915922667875,0.07050399084017633
-110.0,0.04375533673259175,0.048522479108729054
-100.0,0.039424377225449274,0.011792262728725224
-100.0,-91.02843514673945,-29.988753229185207
-90.0,0.05580009847287221,-0.018066992727867354
-90.0,4.981956338115537,54.73755022902039
-80.0,-0.08285353274634648,-0.032891549198196375
-80.0,-69.97948073387212,61.98983784484538
-70.0,0.03271844872578686,0.14018772619267764
-70.0,0.001078078678812688,-0.06061420200834282
-60.0,0.04641569887618512,-0.0802876714330567
-60.0,-0.01976580720762336,0.03817828056822596
-50.0,0.03295038426315852,0.00882780507757114
-50.0,-5.030856245150191,58.902257896489296
-40.0,0.007462446542717194,-0.06530445740221115
-40.0,0.03720424398895289,0.0036444159633167482
-30.0,0.07641666345587513,-0.07078577736436555
-30.0,-0.0019544284946558534,-0.013834739408009037
-20.0,0.08936428874098964,0.11631415966128045
-20.0,-0.685542522268358,-3.700595298125348
-10.0,-4.4703166520930754e-20,-1.9213405128988383e-20
-10.0,-11.076827589115428,4.107119228458926
0.0,-1.2566879881979736,1.4332181711334533
1.0,-3.9969843297293806,-42.299908234162935
10.0,0.004787606671278893,-0.01753327575294097
10.0,-30.150908596467183,51.044828082244635
20.0,0.11868638447701067,0.014754951982680207
20.0,-1.8732791041873589,-2.799723661728825
30.0,-70.91078204444862,81.06120420720535
30.0,-0.16793531720857655,-0.023116557044028697
40.0,-0.06843575332349898,-0.020919487591630273
40.0,-31.981919399718482,4.20229833487694
50.0,-0.017549741485080973,-0.06518449980304476
50.0,-0.18555866418391728,0.11764241186406399
60.0,0.020632516924274293,0.015582143364307311
60.0,-0.09176871660170194,0.16522853841103363
70.0,0.07938713892121642,-0.058129422306145706
70.0,0.03250987144558149,-0.06886147734439445
80.0,-0.09175101026915738,-0.006141432622013341
80.0,-0.05550423161528404,0.025179168269996093
