z_um,dy_pix,dx_pix
-110.0,0,0
-110.0,-61,-81
-100.0,0,0
-100.0,-49,-85
-90.0,0,0
-90.0,-40,-16
-80.0,0,0
-80.0,66,-12
-70.0,-69,116
-70.0,0,0
-60.0,0,0
-60.0,1,-89
-50.0,0,0
-50.0,-85,0
-40.0,0,0
-40.0,71,-91
-30.0,0,0
-30.0,54,-36
-20.0,-95,-92
-20.0,0,0
-10.0,0,0
-10.0,0,-2
0.0,0,0
1.0,0,4
10.0,0,0
10.0,127,-98
20.0,0,0
20.0,0,-81
30.0,90,-27
30.0,0,0
40.0,0,0
40.0,0,-95
50.0,0,0
50.0,0,-132
60.0,0,0
60.0,0,-119
70.0,0,0
70.0,0,-130
80.0,0,0
80.0,135,14
