z_um,dy_pix,dx_pix
-110.0,0,0
-110.0,16,-83
-100.0,0,0
-100.0,-76,68
-90.0,0,0
-90.0,-121,-85
-80.0,0,0
-80.0,-63,-68
-70.0,0,-92
-70.0,0,0
-60.0,0,0
-60.0,-7,-86
-50.0,0,0
-50.0,-53,-89
-40.0,0,0
-40.0,106,0
-30.0,0,0
-30.0,6,-91
-20.0,90,-88
-20.0,0,0
-10.0,0,0
-10.0,-5,0
0.0,0,0
1.0,0,-88
10.0,0,0
10.0,0,-96
20.0,0,0
20.0,-5,5
30.0,75,-89
30.0,0,0
40.0,0,0
40.0,44,-89
50.0,0,0
50.0,-30,-92
60.0,0,0
60.0,-5,-87
70.0,0,0
70.0,-25,-90
80.0,0,0
80.0,-19,-89
