z_um,dy_pix,dx_pix
-110.0,0,0
-110.0,-83,61
-100.0,0,0
-100.0,126,-80
-90.0,0,0
-90.0,-54,-86
-80.0,0,0
-80.0,-53,-79
-70.0,64,118
-70.0,0,0
-60.0,0,0
-60.0,81,-81
-50.0,0,0
-50.0,-104,-87
-40.0,0,0
-40.0,-63,-91
-30.0,0,0
-30.0,72,-91
-20.0,54,-90
-20.0,0,0
-10.0,0,0
-10.0,-2,0
0.0,0,0
1.0,2,7
10.0,0,0
10.0,120,-95
20.0,0,0
20.0,-2,4
30.0,64,-90
30.0,0,0
40.0,0,0
40.0,53,-88
50.0,0,0
50.0,113,-91
60.0,0,0
60.0,19,-87
70.0,0,0
70.0,128,-90
80.0,0,0
80.0,34,-89
