z_um,dy_pix,dx_pix
-110.0,0,0
-110.0,-116,-81
-100.0,0,0
-100.0,36,-84
-90.0,0,0
-90.0,55,-85
-80.0,0,0
-80.0,-84,-20
-70.0,-15,-81
-70.0,0,0
-60.0,0,0
-60.0,-92,-88
-50.0,0,0
-50.0,-8,96
-40.0,0,0
-40.0,-87,-81
-30.0,0,0
-30.0,6,-91
-20.0,-25,-84
-20.0,0,0
-10.0,0,0
-10.0,-2,0
0.0,0,0
1.0,-92,0
10.0,0,0
10.0,-5,-96
20.0,0,0
20.0,5,-89
30.0,-91,135
30.0,0,0
40.0,0,0
40.0,5,0
50.0,0,0
50.0,1,-93
60.0,0,0
60.0,-5,-87
70.0,0,0
70.0,116,-91
80.0,0,0
80.0,3,-89
