z_um,dy_pix,dx_pix
-110.0,0,0
-110.0,-111,-81
-100.0,0,0
-100.0,44,92
-90.0,0,0
-90.0,68,-85
-80.0,0,0
-80.0,-92,-81
-70.0,60,-83
-70.0,0,0
-60.0,0,0
-60.0,46,-82
-50.0,0,0
-50.0,45,-89
-40.0,0,0
-40.0,-88,-85
-30.0,0,0
-30.0,0,0
-20.0,1,-86
-20.0,0,0
-10.0,0,0
-10.0,0,-4
0.0,0,0
1.0,2,0
10.0,0,0
10.0,0,-93
20.0,0,0
20.0,0,-3
30.0,0,-89
30.0,0,0
40.0,0,0
40.0,-87,-88
50.0,0,0
50.0,0,-1
60.0,0,0
60.0,90,15
70.0,0,0
70.0,96,-91
80.0,0,0
80.0,123,-89
