z_um,dy_px,dx_px
-110.0,-0.023668218067233522,-0.017851781994170153
-110.0,11.046558030365668,13.090026661835758
-100.0,-0.005215986204690152,-0.000602005857434598
-100.0,0.024502429267337773,-0.018828939860847965
-90.0,-0.05873894270631971,-0.04083388907097916
-90.0,-0.0468722745295855,0.043869965181152513
-80.0,0.017320422546595878,0.010344738730003123
-80.0,0.04250897882762052,-0.034456847052128495
-70.0,0.06909520576554394,-0.025964761413483747
-70.0,0.05017377803271282,0.002325632168372887
-60.0,0.12885553768833335,-0.02925070056136157
-60.0,0.014070252439650778,0.014959375780671214
-50.0,-10.227087799424142,79.00531005055745
-50.0,-0.016155224047951895,0.032000596001840555
-40.0,0.0036845227869062255,0.008224578152265544
-40.0,0.0690988067043886,-0.009990313013495167
-30.0,-0.054444536886173685,0.05085293890518992
-30.0,-0.012941243877139278,0.012315822102907685
-20.0,0.1784640389516558,-0.018816364821765297
-20.0,-1.898419024162826,-2.0746814232967963
-10.0,-0.07255071507499213,0.01951514718815498
-10.0,-0.06397565734609872,-0.07258728660292382
0.0,-0.5855179083879691,-3.9632735062539144
1.0,0.05973206837115176,-0.03753007088531083
10.0,0.9563296895774017,-5.811013780436942
10.0,-0.0049178631387843,-0.06453201571236086
20.0,-6.905371926365163e-20,-4.9306250303628387e-20
20.0,-2.2546715091309,-46.79419723318164
30.0,0.023080906628643018,0.01108513601334992
30.0,-0.13640769146276863,3.183024525499624
40.0,-3.9873349475538165,5.166652709096249
40.0,0.17483102428024783,0.0003394721118880888
50.0,-3.8846329635600143,-4.366114804769577
50.0,0.04575947873956887,0.012227670368090282
60.0,16.96715457952537,-45.05043502193508
60.0,-0.015377950159899128,0.0028981182343235123
70.0,-5.161618250754535,-44.02453814093106
70.0,-0.018956872912269735,0.059773440196336035
80.0,-7.10622056516882,-2.7305510786071805
80.0,0.05839728605011119,0.03525918673107935
