z_um,dy_pix,dx_pix
-110.0,0,0
-110.0,-73,-81
-100.0,0,0
-100.0,107,-85
-90.0,0,0
-90.0,-6,-12
-80.0,0,0
-80.0,66,-88
-70.0,-103,113
-70.0,0,0
-60.0,0,0
-60.0,-17,-87
-50.0,0,0
-50.0,127,-90
-40.0,0,0
-40.0,-35,-90
-30.0,0,0
-30.0,-40,-29
-20.0,-96,-97
-20.0,0,0
-10.0,0,0
-10.0,0,0
0.0,0,3
1.0,0,-93
10.0,0,0
10.0,-95,-95
20.0,0,0
20.0,0,-97
30.0,-94,-90
30.0,0,0
40.0,0,0
40.0,0,0
50.0,0,0
50.0,-126,-92
60.0,0,0
60.0,-11,-86
70.0,0,0
70.0,66,-92
80.0,0,0
80.0,-78,-90
