z_um,dy_pix,dx_pix
-110.0,0,0
-110.0,18,-102
-100.0,0,0
-100.0,-107,-67
-90.0,0,0
-90.0,-37,106
-80.0,0,0
-80.0,-116,-84
-70.0,24,74
-70.0,0,0
-60.0,0,0
-60.0,15,-87
-50.0,0,0
-50.0,52,-88
-40.0,0,0
-40.0,45,-89
-30.0,0,0
-30.0,-83,-92
-20.0,-34,-89
-20.0,0,0
-10.0,0,0
-10.0,0,0
0.0,0,0
1.0,0,7
10.0,0,0
10.0,-4,-96
20.0,0,0
20.0,-98,3
30.0,-129,-88
30.0,0,0
40.0,0,0
40.0,5,0
50.0,0,0
50.0,-7,-92
60.0,0,0
60.0,124,-87
70.0,0,0
70.0,97,-89
80.0,0,0
80.0,105,-88
